,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-07-25 14:07:59.999,1627247220000,1.20750000,1.20750000,1.20700000,1.20750000,3672.01000000,1627247279999,4433.61429500,23,1202.18000000,1451.62313400,0
2021-07-25 14:08:59.999,1627247280000,1.20730000,1.20730000,1.20650000,1.20660000,3638.61000000,1627247339999,4391.20292800,16,1300.90000000,1570.33564600,0
2021-07-25 14:09:59.999,1627247340000,1.20700000,1.20830000,1.20700000,1.20790000,3356.04000000,1627247399999,4053.73760300,12,2555.52000000,3087.23206300,0
2021-07-25 14:10:59.999,1627247400000,1.20820000,1.20850000,1.20790000,1.20790000,1440.10000000,1627247459999,1739.91148000,10,1116.09000000,1348.53980100,0
2021-07-25 14:11:59.999,1627247460000,1.20790000,1.20880000,1.20780000,1.20790000,6706.84000000,1627247519999,8102.25100800,22,1138.63000000,1375.72139500,0
2021-07-25 14:12:59.999,1627247520000,1.20800000,1.20800000,1.20780000,1.20790000,522.35000000,1627247579999,630.93959600,5,507.04000000,612.44511600,0
2021-07-25 14:13:59.999,1627247580000,1.20790000,1.20790000,1.20740000,1.20740000,1371.42000000,1627247639999,1656.34319000,11,765.95000000,925.19100500,0
2021-07-25 14:14:59.999,1627247640000,1.20780000,1.20790000,1.20740000,1.20790000,1319.84000000,1627247699999,1594.09603600,4,1203.24000000,1453.31319600,0
2021-07-25 14:15:59.999,1627247700000,1.20770000,1.20770000,1.20720000,1.20720000,1633.10000000,1627247759999,1972.15121000,9,1064.84000000,1285.94260800,0
2021-07-25 14:16:59.999,1627247760000,1.20720000,1.20820000,1.20720000,1.20820000,2284.53000000,1627247819999,2758.62026100,16,1717.73000000,2074.05557700,0
2021-07-25 14:17:59.999,1627247820000,1.20820000,1.20880000,1.20790000,1.20870000,4406.16000000,1627247879999,5323.70859800,17,1415.14000000,1710.27968800,0
2021-07-25 14:18:59.999,1627247880000,1.20880000,1.20890000,1.20880000,1.20880000,2638.65000000,1627247939999,3189.60553200,6,2638.65000000,3189.60553200,0
2021-07-25 14:19:59.999,1627247940000,1.20920000,1.20920000,1.20810000,1.20890000,5385.76000000,1627247999999,6511.32904900,18,1190.30000000,1438.84297100,0
2021-07-25 14:20:59.999,1627248000000,1.20930000,1.21040000,1.20920000,1.21020000,25807.80000000,1627248059999,31224.00005500,64,21482.58000000,25992.23121900,0
2021-07-25 14:21:59.999,1627248060000,1.21020000,1.21050000,1.20980000,1.21050000,12690.50000000,1627248119999,15356.08809800,27,3945.70000000,4776.14304400,0
2021-07-25 14:22:59.999,1627248120000,1.21050000,1.21190000,1.21050000,1.21170000,7200.42000000,1627248179999,8722.85741900,60,6692.94000000,8108.13541500,0
2021-07-25 14:23:59.999,1627248180000,1.21170000,1.21340000,1.21040000,1.21320000,90871.05000000,1627248239999,110125.38474000,183,42094.65000000,51028.41918600,0
2021-07-25 14:24:59.999,1627248240000,1.21320000,1.21370000,1.21320000,1.21370000,1491.63000000,1627248299999,1809.88408000,19,896.63000000,1087.97058000,0
2021-07-25 14:25:59.999,1627248300000,1.21370000,1.21370000,1.21310000,1.21340000,3638.68000000,1627248359999,4414.78325200,15,3128.25000000,3795.52957600,0
2021-07-25 14:26:59.999,1627248360000,1.21370000,1.21400000,1.21270000,1.21310000,4889.36000000,1627248419999,5934.48346200,25,4254.69000000,5164.58011800,0
2021-07-25 14:27:59.999,1627248420000,1.21270000,1.21270000,1.21270000,1.21270000,409.92000000,1627248479999,497.10998400,2,0.00000000,0.00000000,0
2021-07-25 14:28:59.999,1627248480000,1.21260000,1.21260000,1.21180000,1.21240000,1310.49000000,1627248539999,1589.00018000,7,1073.68000000,1301.91137600,0
2021-07-25 14:29:59.999,1627248540000,1.21160000,1.21210000,1.21110000,1.21210000,4691.18000000,1627248599999,5682.97595100,15,445.15000000,539.49902900,0
2021-07-25 14:30:59.999,1627248600000,1.21190000,1.21220000,1.21170000,1.21220000,4299.52000000,1627248659999,5211.50101400,13,1658.90000000,2010.67103500,0
2021-07-25 14:31:59.999,1627248660000,1.21220000,1.21220000,1.21010000,1.21010000,7382.52000000,1627248719999,8945.28812700,26,801.95000000,971.55446900,0
2021-07-25 14:32:59.999,1627248720000,1.21070000,1.21070000,1.20920000,1.21000000,4967.53000000,1627248779999,6009.22874300,24,2057.15000000,2488.87771300,0
2021-07-25 14:33:59.999,1627248780000,1.21020000,1.21110000,1.21020000,1.21110000,1421.96000000,1627248839999,1721.34968900,7,1176.96000000,1424.71768900,0
2021-07-25 14:34:59.999,1627248840000,1.21120000,1.21120000,1.21070000,1.21070000,257.06000000,1627248899999,311.33823800,4,235.16000000,284.82390800,0
2021-07-25 14:35:59.999,1627248900000,1.21120000,1.21170000,1.21070000,1.21170000,2817.72000000,1627248959999,3413.24316500,15,2202.93000000,2668.71955300,0
2021-07-25 14:36:59.999,1627248960000,1.21170000,1.21180000,1.21160000,1.21160000,959.81000000,1627249019999,1163.01730100,9,499.04000000,604.71444900,0
2021-07-25 14:37:59.999,1627249020000,1.21170000,1.21240000,1.21160000,1.21240000,1629.62000000,1627249079999,1974.54525500,11,185.25000000,224.53124800,0
