,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-07-25 14:07:59.999,1627247220000,34438.88000000,34442.34000000,34438.87000000,34439.82000000,1.08198700,1627247279999,37264.46687612,60,0.21514900,7409.69149297,0
2021-07-25 14:08:59.999,1627247280000,34439.83000000,34439.83000000,34431.93000000,34434.58000000,3.82589200,1627247339999,131751.15410635,146,1.04407700,35953.42160453,0
2021-07-25 14:09:59.999,1627247340000,34434.59000000,34477.09000000,34434.58000000,34467.57000000,11.18335300,1627247399999,385260.33708931,150,10.40909500,358582.70099075,0
2021-07-25 14:10:59.999,1627247400000,34467.58000000,34467.58000000,34451.98000000,34451.98000000,2.53754700,1627247459999,87456.77652151,90,0.28039400,9663.57606063,0
2021-07-25 14:11:59.999,1627247460000,34450.01000000,34457.41000000,34448.76000000,34454.45000000,0.78306500,1627247519999,26978.03785116,55,0.40485300,13947.65449765,0
2021-07-25 14:12:59.999,1627247520000,34454.46000000,34454.46000000,34447.10000000,34448.20000000,3.18029900,1627247579999,109558.64216472,80,0.22744500,7835.25504355,0
2021-07-25 14:13:59.999,1627247580000,34448.21000000,34448.21000000,34446.17000000,34446.17000000,9.56823300,1627247639999,329599.93040573,117,4.29664000,148007.61242981,0
2021-07-25 14:14:59.999,1627247640000,34446.18000000,34446.74000000,34435.09000000,34446.73000000,6.43615000,1627247699999,221694.64321942,204,3.59485500,123824.57495227,0
2021-07-25 14:15:59.999,1627247700000,34446.74000000,34446.74000000,34442.61000000,34445.46000000,3.59030700,1627247759999,123672.91244868,87,0.31952800,11006.62771177,0
2021-07-25 14:16:59.999,1627247760000,34445.47000000,34465.81000000,34442.62000000,34465.80000000,6.16856300,1627247819999,212502.55872254,170,4.75225400,163697.59678673,0
2021-07-25 14:17:59.999,1627247820000,34465.80000000,34499.57000000,34465.80000000,34495.48000000,9.60995200,1627247879999,331391.77807266,310,6.63987500,228964.07036909,0
2021-07-25 14:18:59.999,1627247880000,34495.47000000,34520.00000000,34489.00000000,34520.00000000,9.60774900,1627247939999,331551.92292288,345,3.98858100,137637.32901149,0
2021-07-25 14:19:59.999,1627247940000,34519.80000000,34519.80000000,34491.00000000,34515.89000000,6.37745300,1627247999999,220059.28469861,149,1.48332300,51180.75701413,0
2021-07-25 14:20:59.999,1627248000000,34515.89000000,34540.18000000,34506.68000000,34528.98000000,6.11822700,1627248059999,211238.23581972,230,2.12607700,73412.86938026,0
2021-07-25 14:21:59.999,1627248060000,34528.98000000,34550.00000000,34528.98000000,34542.74000000,7.26066700,1627248119999,250827.60190026,211,5.73449200,198106.21424246,0
2021-07-25 14:22:59.999,1627248120000,34542.74000000,34564.16000000,34542.74000000,34546.63000000,6.36771800,1627248179999,220008.89292005,330,4.24625000,146710.46359598,0
2021-07-25 14:23:59.999,1627248180000,34546.63000000,34555.21000000,34512.85000000,34555.20000000,11.16729600,1627248239999,385534.28547017,253,7.49201900,258636.80819537,0
2021-07-25 14:24:59.999,1627248240000,34555.21000000,34572.94000000,34555.21000000,34557.06000000,6.09718100,1627248299999,210767.16627475,286,1.93281900,66809.29636322,0
2021-07-25 14:25:59.999,1627248300000,34557.05000000,34557.06000000,34530.86000000,34536.59000000,5.89985100,1627248359999,203805.52799783,104,0.21477900,7418.59796664,0
2021-07-25 14:26:59.999,1627248360000,34536.59000000,34540.93000000,34526.47000000,34539.48000000,3.59316900,1627248419999,124080.11561875,104,0.86510000,29874.62043942,0
2021-07-25 14:27:59.999,1627248420000,34539.43000000,34539.43000000,34495.53000000,34495.53000000,6.16871500,1627248479999,212950.34911984,216,0.50987300,17598.48736625,0
2021-07-25 14:28:59.999,1627248480000,34494.34000000,34519.41000000,34482.27000000,34519.41000000,2.40742300,1627248539999,83056.85305967,135,1.32796100,45822.10156390,0
2021-07-25 14:29:59.999,1627248540000,34519.40000000,34548.98000000,34519.40000000,34548.98000000,5.14052400,1627248599999,177557.89237858,154,4.64586100,160472.80189310,0
2021-07-25 14:30:59.999,1627248600000,34548.98000000,34553.01000000,34524.27000000,34527.08000000,7.49862500,1627248659999,259034.79957614,252,2.13577600,73774.88546957,0
2021-07-25 14:31:59.999,1627248660000,34527.09000000,34543.14000000,34522.52000000,34537.01000000,14.42316300,1627248719999,498042.52018706,295,5.48946500,189590.50925815,0
2021-07-25 14:32:59.999,1627248720000,34534.78000000,34563.02000000,34529.20000000,34562.80000000,4.89856500,1627248779999,169231.67928460,183,2.19577800,75866.66145962,0
2021-07-25 14:33:59.999,1627248780000,34562.81000000,34601.50000000,34562.80000000,34601.49000000,5.72884900,1627248839999,198163.06743450,395,4.79702100,165939.57616220,0
2021-07-25 14:34:59.999,1627248840000,34601.49000000,34601.49000000,34563.61000000,34576.02000000,1.75397100,1627248899999,60650.63843913,143,0.79632800,27535.10895807,0
2021-07-25 14:35:59.999,1627248900000,34576.03000000,34596.97000000,34576.03000000,34594.91000000,3.75589700,1627248959999,129930.62297089,113,1.00128800,34635.04665985,0
2021-07-25 14:36:59.999,1627248960000,34594.91000000,34594.91000000,34580.71000000,34582.44000000,1.24980900,1627249019999,43230.62437042,71,0.76017800,26295.09972226,0
2021-07-25 14:37:59.999,1627249020000,34582.43000000,34582.53000000,34559.57000000,34559.58000000,6.85142800,1627249079999,236898.33138974,174,4.56449200,157830.77675488,0
2021-07-25 14:38:59.999,1627249080000,34559.57000000,34567.99000000,34542.69000000,34552.02000000,4.06259800,1627249139999,140385.04350536,170,2.38875600,82549.08369980,0
2021-07-25 14:39:59.999,1627249140000,34552.03000000,34553.99000000,34548.74000000,34553.80000000,2.80977800,1627249199999,97084.28618635,150,1.91308100,66102.35657639,0
2021-07-25 14:40:59.999,1627249200000,34553.80000000,34564.00000000,34548.42000000,34548.42000000,2.64131400,1627249259999,91266.31090951,144,1.06860400,36925.56636048,0
2021-07-25 14:41:59.999,1627249260000,34548.42000000,34554.02000000,34546.49000000,34549.97000000,4.33387100,1627249319999,149731.85424701,164,1.22459700,42310.18231582,0
2021-07-25 14:42:59.999,1627249320000,34549.97000000,34576.64000000,34549.96000000,34572.37000000,2.23451800,1627249379999,77230.57060474,150,1.24193600,42926.92231582,0
2021-07-25 14:43:59.999,1627249380000,34572.36000000,34575.44000000,34568.45000000,34572.28000000,4.37811600,1627249439999,151362.22759914,95,0.27322600,9445.91946251,0
2021-07-25 14:44:59.999,1627249440000,34572.29000000,34590.00000000,34572.29000000,34589.75000000,4.08254500,1627249499999,141186.60455686,145,2.65298400,91750.85763623,0
2021-07-25 14:45:59.999,1627249500000,34589.76000000,34589.76000000,34568.25000000,34570.32000000,3.92514000,1627249559999,135729.00407407,142,1.58140800,54681.80999559,0
2021-07-25 14:46:59.999,1627249560000,34570.32000000,34579.13000000,34568.26000000,34570.02000000,3.75780900,1627249619999,129920.13764163,176,1.98328500,68569.65788747,0
2021-07-25 14:47:59.999,1627249620000,34570.32000000,34578.17000000,34533.01000000,34534.74000000,5.53829100,1627249679999,191379.94882527,226,1.42098800,49106.48409964,0
2021-07-25 14:48:59.999,1627249680000,34533.00000000,34542.45000000,34519.53000000,34536.29000000,5.44125300,1627249739999,187897.45487135,170,2.52389000,87167.42815578,0
2021-07-25 14:49:59.999,1627249740000,34536.29000000,34554.50000000,34533.49000000,34548.90000000,2.35181300,1627249799999,81247.83022994,126,1.38787100,47945.01956349,0
2021-07-25 14:50:59.999,1627249800000,34548.90000000,34558.26000000,34533.98000000,34543.73000000,5.07804800,1627249859999,175452.33046703,222,3.80256100,131384.11688134,0
2021-07-25 14:51:59.999,1627249860000,34546.48000000,34554.35000000,34528.57000000,34543.26000000,6.00667400,1627249919999,207458.27265985,197,4.80095400,165809.58636547,0
2021-07-25 14:52:59.999,1627249920000,34543.30000000,34554.07000000,34537.98000000,34540.81000000,8.42648200,1627249979999,291139.72165323,143,1.60454200,55436.54109238,0
2021-07-25 14:53:59.999,1627249980000,34541.64000000,34541.64000000,34518.12000000,34523.24000000,3.48510200,1627250039999,120337.21823190,113,1.21297900,41885.47788376,0
2021-07-25 14:54:59.999,1627250040000,34523.25000000,34530.57000000,34520.66000000,34524.22000000,2.42489900,1627250099999,83722.46180325,102,1.67285200,57757.30876236,0
2021-07-25 14:55:59.999,1627250100000,34524.55000000,34529.11000000,34512.88000000,34517.65000000,4.43009600,1627250159999,152922.40708267,152,2.22867300,76930.83819377,0
2021-07-25 14:56:59.999,1627250160000,34518.73000000,34558.03000000,34517.38000000,34556.82000000,5.10939700,1627250219999,176487.22399814,145,3.20424700,110682.33242346,0
2021-07-25 14:57:59.999,1627250220000,34556.82000000,34571.41000000,34554.64000000,34560.59000000,2.53845200,1627250279999,87737.01005376,108,1.47642500,51029.03994175,0
2021-07-25 14:58:59.999,1627250280000,34560.59000000,34578.55000000,34559.25000000,34568.57000000,1.62515300,1627250339999,56179.80739726,90,0.78265100,27056.12029392,0
2021-07-25 14:59:59.999,1627250340000,34568.57000000,34572.36000000,34567.64000000,34568.40000000,1.71121300,1627250399999,59155.24124094,67,0.65480900,22635.74753666,0
2021-07-25 15:00:59.999,1627250400000,34570.34000000,34580.00000000,34510.20000000,34510.21000000,10.79786100,1627250459999,373004.32108395,242,2.13298500,73691.41041924,0
2021-07-25 15:01:59.999,1627250460000,34510.21000000,34510.21000000,34476.99000000,34481.65000000,6.84263600,1627250519999,236035.16649155,223,0.61494500,21211.52888129,0
2021-07-25 15:02:59.999,1627250520000,34480.93000000,34500.50000000,34480.92000000,34500.50000000,4.30365100,1627250579999,148419.64391962,139,3.59046300,123825.79525678,0
2021-07-25 15:03:59.999,1627250580000,34501.71000000,34521.45000000,34501.00000000,34501.00000000,3.86675800,1627250639999,133458.08314297,137,2.04136800,70457.97395403,0
