,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-07-25 14:07:59.999,1627247220000,13.40100000,13.40100000,13.39800000,13.39900000,66.69200000,1627247279999,893.67584500,8,66.69200000,893.67584500,0
2021-07-25 14:08:59.999,1627247280000,13.39900000,13.40600000,13.39900000,13.40600000,16.05800000,1627247339999,215.18172000,5,15.25000000,204.34967200,0
2021-07-25 14:09:59.999,1627247340000,13.41800000,13.42900000,13.41600000,13.42500000,145.23400000,1627247399999,1949.67751800,8,7.98500000,107.16466200,0
2021-07-25 14:10:59.999,1627247400000,13.42100000,13.42100000,13.41400000,13.41400000,37.50700000,1627247459999,503.17396700,4,2.01100000,26.98963100,0
2021-07-25 14:11:59.999,1627247460000,13.41400000,13.42400000,13.41400000,13.42400000,246.79600000,1627247519999,3311.65331000,17,125.19900000,1679.78200400,0
2021-07-25 14:12:59.999,1627247520000,13.43100000,13.43100000,13.42600000,13.42600000,170.12400000,1627247579999,2284.33989100,6,21.23900000,285.26100900,0
2021-07-25 14:13:59.999,1627247580000,13.42100000,13.42400000,13.42100000,13.42400000,25.91600000,1627247639999,347.85476500,8,25.91600000,347.85476500,0
2021-07-25 14:14:59.999,1627247640000,13.41300000,13.41600000,13.41000000,13.41200000,306.68100000,1627247699999,4113.13757600,6,14.53700000,195.02839200,0
2021-07-25 14:15:59.999,1627247700000,13.41400000,13.41400000,13.41300000,13.41300000,52.08100000,1627247759999,698.60630800,4,52.08100000,698.60630800,0
2021-07-25 14:16:59.999,1627247760000,13.41100000,13.42300000,13.41100000,13.42300000,281.57900000,1627247819999,3776.71165000,12,281.57900000,3776.71165000,0
2021-07-25 14:17:59.999,1627247820000,13.43200000,13.44300000,13.41300000,13.42100000,1651.74100000,1627247879999,22179.98390900,69,96.59200000,1297.85079900,0
2021-07-25 14:18:59.999,1627247880000,13.42200000,13.42200000,13.41300000,13.41600000,295.01200000,1627247939999,3957.60201200,7,141.23200000,1894.56851100,0
2021-07-25 14:19:59.999,1627247940000,13.41200000,13.41300000,13.40400000,13.40600000,189.03200000,1627247999999,2534.26853900,13,172.74000000,2315.79337900,0
2021-07-25 14:20:59.999,1627248000000,13.40800000,13.41700000,13.39900000,13.39900000,322.18200000,1627248059999,4321.13277800,8,281.33400000,3773.73266700,0
2021-07-25 14:21:59.999,1627248060000,13.41700000,13.41900000,13.40900000,13.41900000,198.40900000,1627248119999,2662.08628100,4,180.00000000,2415.24000000,0
2021-07-25 14:22:59.999,1627248120000,13.42000000,13.45700000,13.42000000,13.45600000,1960.26300000,1627248179999,26332.79970000,61,1940.76300000,26070.47820000,0
2021-07-25 14:23:59.999,1627248180000,13.45800000,13.47500000,13.45000000,13.47500000,468.23900000,1627248239999,6300.04328200,53,91.29800000,1229.30497600,0
2021-07-25 14:24:59.999,1627248240000,13.47500000,13.49000000,13.47500000,13.48800000,95.64200000,1627248299999,1289.28958900,43,94.89300000,1279.18707700,0
2021-07-25 14:25:59.999,1627248300000,13.48300000,13.48300000,13.45900000,13.46700000,610.06400000,1627248359999,8222.01929800,13,371.98800000,5013.46129000,0
2021-07-25 14:26:59.999,1627248360000,13.46700000,13.46700000,13.46400000,13.46400000,259.04700000,1627248419999,3488.12079000,7,0.00000000,0.00000000,0
2021-07-25 14:27:59.999,1627248420000,13.46700000,13.46700000,13.45600000,13.45600000,42.52900000,1627248479999,572.37952500,7,0.00000000,0.00000000,0
