,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-07-25 14:06:59.999,1627247160000,2155.73000000,2155.74000000,2154.44000000,2155.56000000,36.30631000,1627247219999,78245.61882500,143,12.88063000,27760.19787710,0
2021-07-25 14:07:59.999,1627247220000,2155.56000000,2156.01000000,2155.56000000,2155.71000000,19.69110000,1627247279999,42452.61191950,59,14.22231000,30662.54184370,0
2021-07-25 14:08:59.999,1627247280000,2155.86000000,2155.86000000,2155.02000000,2155.22000000,6.78202000,1627247339999,14617.00572050,38,4.48435000,9664.77910940,0
2021-07-25 14:09:59.999,1627247340000,2155.31000000,2157.00000000,2155.00000000,2156.86000000,198.16130000,1627247399999,427247.43909310,428,110.09929000,237441.49604690,0
2021-07-25 14:10:59.999,1627247400000,2156.86000000,2156.86000000,2155.37000000,2155.46000000,35.48389000,1627247459999,76517.07289580,91,17.76242000,38304.22197780,0
2021-07-25 14:11:59.999,1627247460000,2155.38000000,2156.97000000,2155.38000000,2156.71000000,34.21729000,1627247519999,73776.09629720,89,29.54974000,63709.83060280,0
2021-07-25 14:12:59.999,1627247520000,2156.90000000,2157.26000000,2155.87000000,2155.87000000,39.97735000,1627247579999,86214.02211700,96,21.39636000,46141.65983240,0
2021-07-25 14:13:59.999,1627247580000,2155.87000000,2155.88000000,2155.77000000,2155.78000000,22.27719000,1627247639999,48026.45934980,45,3.73032000,8041.84436030,0
2021-07-25 14:14:59.999,1627247640000,2155.75000000,2155.88000000,2154.93000000,2155.24000000,69.48051000,1627247699999,149740.07195000,133,11.61838000,25040.62915680,0
2021-07-25 14:15:59.999,1627247700000,2155.28000000,2156.63000000,2155.28000000,2156.17000000,17.79912000,1627247759999,38374.03815730,69,16.64720000,35890.35768600,0
2021-07-25 14:16:59.999,1627247760000,2156.53000000,2158.37000000,2156.36000000,2158.35000000,93.06966000,1627247819999,200832.06632660,148,90.35748000,194979.41919940,0
2021-07-25 14:17:59.999,1627247820000,2158.16000000,2162.63000000,2158.16000000,2161.71000000,166.18959000,1627247879999,359155.04630150,513,112.83903000,243827.74553310,0
2021-07-25 14:18:59.999,1627247880000,2161.70000000,2163.76000000,2161.35000000,2163.67000000,126.72608000,1627247939999,274080.47858430,251,116.58621000,252149.87513550,0
2021-07-25 14:19:59.999,1627247940000,2163.67000000,2163.67000000,2159.61000000,2162.54000000,222.16232000,1627247999999,480297.80602210,357,103.57101000,223867.72863260,0
2021-07-25 14:20:59.999,1627248000000,2162.61000000,2168.69000000,2162.52000000,2166.01000000,326.82401000,1627248059999,707846.83386180,920,190.07804000,411604.11502250,0
2021-07-25 14:21:59.999,1627248060000,2166.41000000,2171.99000000,2166.34000000,2169.95000000,286.86197000,1627248119999,622273.26793670,903,218.14206000,473199.15537370,0
2021-07-25 14:22:59.999,1627248120000,2169.94000000,2173.35000000,2169.87000000,2169.98000000,282.94456000,1627248179999,614619.44229200,652,103.94591000,225749.04281260,0
2021-07-25 14:23:59.999,1627248180000,2169.97000000,2170.00000000,2168.31000000,2168.97000000,108.39372000,1627248239999,235131.23798250,221,31.37819000,68063.93525260,0
2021-07-25 14:24:59.999,1627248240000,2168.96000000,2170.72000000,2168.88000000,2170.50000000,63.12253000,1627248299999,136980.62714560,181,45.11437000,97899.51121860,0
2021-07-25 14:25:59.999,1627248300000,2170.49000000,2170.81000000,2168.08000000,2169.11000000,93.79740000,1627248359999,203453.99376480,192,36.00306000,78104.66906360,0
2021-07-25 14:26:59.999,1627248360000,2169.18000000,2169.18000000,2166.27000000,2167.16000000,177.28985000,1627248419999,384299.92813020,303,56.47830000,122422.83604120,0
2021-07-25 14:27:59.999,1627248420000,2167.64000000,2167.64000000,2164.55000000,2165.11000000,65.09272000,1627248479999,140967.16545470,232,29.55978000,64013.04474120,0
2021-07-25 14:28:59.999,1627248480000,2165.11000000,2166.32000000,2164.54000000,2165.77000000,52.23759000,1627248539999,113102.53619690,90,47.76197000,103412.31849370,0
2021-07-25 14:29:59.999,1627248540000,2165.87000000,2169.12000000,2165.87000000,2169.12000000,102.76792000,1627248599999,222767.52722570,231,85.13178000,184544.34092750,0
2021-07-25 14:30:59.999,1627248600000,2169.12000000,2169.78000000,2168.35000000,2168.35000000,132.19201000,1627248659999,286763.06002660,221,66.26257000,143749.14297330,0
2021-07-25 14:31:59.999,1627248660000,2168.33000000,2168.33000000,2166.00000000,2166.15000000,88.05926000,1627248719999,190800.46516110,233,24.36126000,52776.36819420,0
2021-07-25 14:32:59.999,1627248720000,2166.14000000,2166.15000000,2165.41000000,2166.13000000,96.55480000,1627248779999,209117.96527920,130,31.99669000,69293.95315420,0
2021-07-25 14:33:59.999,1627248780000,2166.13000000,2166.85000000,2165.82000000,2166.74000000,63.17620000,1627248839999,136852.75587690,153,18.10897000,39229.76694670,0
2021-07-25 14:34:59.999,1627248840000,2166.74000000,2167.23000000,2166.56000000,2167.11000000,37.93499000,1627248899999,82196.01215240,122,10.78379000,23366.75727710,0
2021-07-25 14:35:59.999,1627248900000,2167.12000000,2167.99000000,2167.11000000,2167.63000000,47.46779000,1627248959999,102900.25614100,118,5.38404000,11671.44242300,0
2021-07-25 14:36:59.999,1627248960000,2167.64000000,2167.64000000,2165.40000000,2165.40000000,40.49176000,1627249019999,87748.24275900,120,6.63751000,14382.27414750,0
2021-07-25 14:37:59.999,1627249020000,2165.41000000,2165.45000000,2164.83000000,2164.83000000,76.89540000,1627249079999,166496.68663500,162,10.62761000,23011.07195290,0
2021-07-25 14:38:59.999,1627249080000,2164.83000000,2165.02000000,2164.72000000,2164.96000000,9.82080000,1627249139999,21261.12668750,50,6.63238000,14358.53714140,0
2021-07-25 14:39:59.999,1627249140000,2164.97000000,2165.11000000,2164.28000000,2164.28000000,42.67165000,1627249199999,92378.23777700,115,6.17330000,13365.26585960,0
2021-07-25 14:40:59.999,1627249200000,2164.33000000,2164.53000000,2162.64000000,2162.84000000,149.29844000,1627249259999,323021.55511120,251,38.38401000,83031.04857660,0
2021-07-25 14:41:59.999,1627249260000,2162.66000000,2163.70000000,2162.51000000,2163.53000000,90.26682000,1627249319999,195253.27414040,225,31.18745000,67456.28016860,0
2021-07-25 14:42:59.999,1627249320000,2163.53000000,2163.68000000,2163.08000000,2163.35000000,29.63589000,1627249379999,64110.97960870,100,4.90592000,10612.78745090,0
2021-07-25 14:43:59.999,1627249380000,2163.35000000,2164.00000000,2163.12000000,2163.99000000,13.66477000,1627249439999,29565.07687910,70,4.89512000,10591.70323110,0
2021-07-25 14:44:59.999,1627249440000,2164.00000000,2165.74000000,2163.99000000,2165.74000000,20.09605000,1627249499999,43506.08700560,71,10.53246000,22802.13967140,0
2021-07-25 14:45:59.999,1627249500000,2165.74000000,2165.88000000,2163.16000000,2163.62000000,56.55817000,1627249559999,122401.29845050,187,30.39470000,65779.46327480,0
2021-07-25 14:46:59.999,1627249560000,2163.63000000,2163.94000000,2163.33000000,2163.46000000,21.88074000,1627249619999,47341.03585000,106,11.58525000,25066.04753430,0
2021-07-25 14:47:59.999,1627249620000,2163.46000000,2164.06000000,2159.00000000,2159.62000000,134.13131000,1627249679999,289916.10032510,510,28.59671000,61836.58165680,0
2021-07-25 14:48:59.999,1627249680000,2159.52000000,2162.12000000,2159.01000000,2160.99000000,41.02268000,1627249739999,88640.55913000,121,24.17588000,52239.58774810,0
2021-07-25 14:49:59.999,1627249740000,2160.95000000,2161.51000000,2160.50000000,2160.61000000,29.71156000,1627249799999,64207.20262710,95,16.53897000,35742.22999820,0
2021-07-25 14:50:59.999,1627249800000,2160.89000000,2162.00000000,2160.51000000,2160.97000000,94.79859000,1627249859999,204892.41514260,202,58.33940000,126091.35853230,0
2021-07-25 14:51:59.999,1627249860000,2160.97000000,2161.57000000,2159.89000000,2161.00000000,67.27258000,1627249919999,145361.14765470,163,7.79468000,16843.29168920,0
2021-07-25 14:52:59.999,1627249920000,2161.00000000,2162.19000000,2160.48000000,2161.12000000,50.30570000,1627249979999,108744.30087290,163,14.15270000,30592.80331120,0
2021-07-25 14:53:59.999,1627249980000,2161.13000000,2161.13000000,2159.13000000,2159.19000000,36.45925000,1627250039999,78752.84249380,104,18.88045000,40779.71444580,0
2021-07-25 14:54:59.999,1627250040000,2159.38000000,2160.30000000,2158.51000000,2158.51000000,49.84093000,1627250099999,107624.91137170,129,15.21126000,32850.65707660,0
2021-07-25 14:55:59.999,1627250100000,2158.58000000,2159.06000000,2157.61000000,2158.88000000,133.45739000,1627250159999,288030.81523200,171,35.77270000,77219.64574470,0
2021-07-25 14:56:59.999,1627250160000,2158.88000000,2161.98000000,2158.88000000,2161.82000000,59.40488000,1627250219999,128365.11253740,148,32.27214000,69739.75934710,0
2021-07-25 14:57:59.999,1627250220000,2161.77000000,2162.19000000,2161.26000000,2161.46000000,27.18434000,1627250279999,58765.74104990,67,10.23358000,22124.13754660,0
2021-07-25 14:58:59.999,1627250280000,2161.59000000,2161.97000000,2160.56000000,2161.97000000,44.64099000,1627250339999,96490.00293550,83,20.20434000,43667.70514260,0
2021-07-25 14:59:59.999,1627250340000,2161.97000000,2162.29000000,2161.76000000,2162.10000000,7.17014000,1627250399999,15502.04711170,45,3.79370000,8202.03568440,0
2021-07-25 15:00:59.999,1627250400000,2162.13000000,2162.30000000,2158.01000000,2158.20000000,94.68007000,1627250459999,204495.76926030,162,9.45435000,20421.91150230,0
2021-07-25 15:01:59.999,1627250460000,2158.19000000,2158.33000000,2157.34000000,2157.45000000,35.07795000,1627250519999,75692.50170160,105,6.06880000,13094.25803090,0
2021-07-25 15:02:59.999,1627250520000,2157.37000000,2157.60000000,2155.55000000,2157.43000000,57.82454000,1627250579999,124691.17386360,231,25.31362000,54575.61715240,0
2021-07-25 15:03:59.999,1627250580000,2157.40000000,2158.47000000,2157.03000000,2157.69000000,46.46010000,1627250639999,100265.82987840,87,16.63492000,35897.23762820,0
2021-07-25 15:04:59.999,1627250640000,2157.70000000,2158.01000000,2155.77000000,2155.77000000,33.22532000,1627250699999,71667.24485620,117,15.95669000,34420.55554910,0
2021-07-25 15:05:59.999,1627250700000,2155.77000000,2157.89000000,2155.42000000,2157.89000000,65.25866000,1627250759999,140749.35661070,155,31.76017000,68511.74920610,0
2021-07-25 15:06:59.999,1627250760000,2157.89000000,2158.60000000,2156.09000000,2156.19000000,41.49829000,1627250819999,89547.82760330,105,13.06720000,28187.93869320,0
2021-07-25 15:07:59.999,1627250820000,2156.12000000,2159.50000000,2156.12000000,2159.01000000,68.28588000,1627250879999,147381.06977880,143,25.15151000,54292.82598330,0
