,index,Unnamed: 0,ETH-USD,ETH-USD1,ETH-USD2,ETH-USD3,ETH-USD4,ETH-USD5,BTC-USD,BTC-USD1,BTC-USD2,BTC-USD3,BTC-USD4,BTC-USD5,ADA-USD,ADA-USD1,ADA-USD2,ADA-USD3,ADA-USD4,ADA-USD5
0,2,2021-07-03 17:09:00+01:00,2222.94091796875,2222.94091796875,2222.94091796875,2222.94091796875,2222.94091796875,0.0,34577.17578125,34577.17578125,34577.17578125,34577.17578125,34577.17578125,0.0,1.4199475049972534,1.4199475049972534,1.4199475049972534,1.4199475049972534,1.4199475049972534,0.0
1,3,2021-07-03 17:10:00+01:00,2222.237548828125,2222.237548828125,2222.237548828125,2222.237548828125,2222.237548828125,13187072.0,34570.74609375,34570.74609375,34570.74609375,34570.74609375,34570.74609375,22710272.0,1.420248031616211,1.420248031616211,1.420248031616211,1.420248031616211,1.420248031616211,0.0
2,4,2021-07-03 17:11:00+01:00,2219.296142578125,2219.296142578125,2219.296142578125,2219.296142578125,2219.296142578125,0.0,34544.51953125,34544.51953125,34544.51953125,34544.51953125,34544.51953125,0.0,1.4175547361373901,1.4175547361373901,1.4175547361373901,1.4175547361373901,1.4175547361373901,0.0
3,5,2021-07-03 17:12:00+01:00,2219.259765625,2219.259765625,2219.259765625,2219.259765625,2219.259765625,0.0,34535.0859375,34535.0859375,34535.0859375,34535.0859375,34535.0859375,0.0,1.417108416557312,1.417108416557312,1.417108416557312,1.417108416557312,1.417108416557312,0.0
4,6,2021-07-03 17:13:00+01:00,2218.034423828125,2218.034423828125,2218.034423828125,2218.034423828125,2218.034423828125,0.0,34528.9140625,34528.9140625,34528.9140625,34528.9140625,34528.9140625,0.0,1.4166407585144043,1.4166407585144043,1.4166407585144043,1.4166407585144043,1.4166407585144043,233728.0
5,7,2021-07-03 17:14:00+01:00,2217.391845703125,2217.391845703125,2217.391845703125,2217.391845703125,2217.391845703125,0.0,34526.4921875,34526.4921875,34526.4921875,34526.4921875,34526.4921875,0.0,1.4162814617156982,1.4162814617156982,1.4162814617156982,1.4162814617156982,1.4162814617156982,0.0
6,8,2021-07-03 17:15:00+01:00,2218.037841796875,2218.037841796875,2218.037841796875,2218.037841796875,2218.037841796875,1296384.0,34535.75,34535.75,34535.75,34535.75,34535.75,485376.0,1.4165507555007935,1.4165507555007935,1.4165507555007935,1.4165507555007935,1.4165507555007935,0.0
7,9,2021-07-03 17:16:00+01:00,2219.01708984375,2219.01708984375,2219.01708984375,2219.01708984375,2219.01708984375,0.0,34534.4765625,34534.4765625,34534.4765625,34534.4765625,34534.4765625,0.0,1.4165947437286377,1.4165947437286377,1.4165947437286377,1.4165947437286377,1.4165947437286377,197376.0
8,10,2021-07-03 17:17:00+01:00,2218.581787109375,2218.581787109375,2218.581787109375,2218.581787109375,2218.581787109375,0.0,34543.3828125,34543.3828125,34543.3828125,34543.3828125,34543.3828125,0.0,1.4175053834915161,1.4175053834915161,1.4175053834915161,1.4175053834915161,1.4175053834915161,0.0
9,11,2021-07-03 17:18:00+01:00,2219.08203125,2219.08203125,2219.08203125,2219.08203125,2219.08203125,122880.0,34546.61328125,34546.61328125,34546.61328125,34546.61328125,34546.61328125,583680.0,1.4166356325149536,1.4166356325149536,1.4166356325149536,1.4166356325149536,1.4166356325149536,0.0
