,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-08-01 08:58:59.999,1627822680000,1.36980000,1.36980000,1.36880000,1.36920000,16523.98000000,1627822739999,22626.12754600,32,4715.77000000,6459.30271800,0
2021-08-01 08:59:59.999,1627822740000,1.36960000,1.36960000,1.36640000,1.36670000,9202.42000000,1627822799999,12585.57588000,59,4285.35000000,5860.87935800,0
2021-08-01 09:00:59.999,1627822800000,1.36640000,1.36640000,1.36320000,1.36400000,37429.48000000,1627822859999,51066.84626500,173,18549.43000000,25302.08490900,0
2021-08-01 09:01:59.999,1627822860000,1.36370000,1.36590000,1.36370000,1.36510000,12295.87000000,1627822919999,16787.53777400,68,8917.80000000,12175.07376700,0
2021-08-01 09:02:59.999,1627822920000,1.36520000,1.36550000,1.36470000,1.36470000,5732.25000000,1627822979999,7824.86730700,24,100.12000000,136.68382400,0
2021-08-01 09:03:59.999,1627822980000,1.36470000,1.36480000,1.36410000,1.36430000,3176.85000000,1627823039999,4334.62909500,17,2366.90000000,3229.66142100,0
2021-08-01 09:04:59.999,1627823040000,1.36450000,1.36530000,1.36430000,1.36450000,7507.64000000,1627823099999,10245.45748800,22,4618.34000000,6303.39318900,0
2021-08-01 09:05:59.999,1627823100000,1.36450000,1.36650000,1.36430000,1.36600000,59174.17000000,1627823159999,80773.49802900,55,23939.17000000,32679.09600300,0
2021-08-01 09:06:59.999,1627823160000,1.36610000,1.36650000,1.36560000,1.36580000,6997.34000000,1627823219999,9559.99038800,25,3666.13000000,5008.97017600,0
2021-08-01 09:07:59.999,1627823220000,1.36570000,1.36630000,1.36490000,1.36560000,9280.27000000,1627823279999,12674.99488200,40,7272.89000000,9933.85413700,0
2021-08-01 09:08:59.999,1627823280000,1.36540000,1.36540000,1.36370000,1.36410000,1727.33000000,1627823339999,2356.80928300,21,782.53000000,1067.62013300,0
2021-08-01 09:09:59.999,1627823340000,1.36460000,1.36520000,1.36430000,1.36520000,6299.72000000,1627823399999,8597.65548500,21,5373.67000000,7334.19973200,0
2021-08-01 09:10:59.999,1627823400000,1.36490000,1.36500000,1.36420000,1.36440000,2468.76000000,1627823459999,3368.86785000,19,517.76000000,706.51703300,0
