,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-08-01 09:00:59.999,1627822800000,41579.10000000,41579.10000000,41543.87000000,41570.96000000,15.07199900,1627822859999,626349.00678843,380,11.68363000,485524.75628290,0
2021-08-01 09:01:59.999,1627822860000,41570.66000000,41601.64000000,41568.31000000,41601.64000000,2.13005700,1627822919999,88593.99461484,136,1.36648100,56830.10694442,0
2021-08-01 09:02:59.999,1627822920000,41601.64000000,41608.49000000,41599.00000000,41602.35000000,1.55008500,1627822979999,64490.14395608,112,1.21900900,50715.10012262,0
2021-08-01 09:03:59.999,1627822980000,41602.34000000,41604.18000000,41588.81000000,41601.88000000,16.04220300,1627823039999,667247.55334237,207,12.96082200,539075.70914344,0
2021-08-01 09:04:59.999,1627823040000,41601.89000000,41603.86000000,41594.04000000,41594.04000000,2.02718900,1627823099999,84326.65947984,97,0.57547300,23939.09320939,0
2021-08-01 09:05:59.999,1627823100000,41595.87000000,41639.39000000,41594.91000000,41633.95000000,7.37270200,1627823159999,306938.73372577,245,6.30019300,262294.90617860,0
2021-08-01 09:06:59.999,1627823160000,41633.95000000,41636.06000000,41625.84000000,41635.38000000,1.01577400,1627823219999,42289.13035516,446,0.52247700,21752.02595133,0
2021-08-01 09:07:59.999,1627823220000,41635.37000000,41635.37000000,41607.93000000,41616.38000000,7.05443400,1627823279999,293574.97991548,377,0.58797600,24467.80862548,0
2021-08-01 09:08:59.999,1627823280000,41616.37000000,41616.37000000,41577.82000000,41593.75000000,3.09696200,1627823339999,128802.14481759,206,0.73786300,30687.44508681,0
2021-08-01 09:09:59.999,1627823340000,41593.74000000,41610.36000000,41585.00000000,41585.01000000,3.40563500,1627823399999,141655.93106772,182,2.34027500,97345.12843637,0
2021-08-01 09:10:59.999,1627823400000,41585.00000000,41585.00000000,41558.70000000,41567.62000000,6.47704300,1627823459999,269258.47276416,229,1.64835800,68516.01441076,0
2021-08-01 09:11:59.999,1627823460000,41567.62000000,41574.87000000,41550.23000000,41556.93000000,3.95239500,1627823519999,164267.24616900,186,1.31615100,54701.71089491,0
2021-08-01 09:12:59.999,1627823520000,41556.92000000,41583.22000000,41542.75000000,41580.03000000,6.05086000,1627823579999,251485.66042268,199,3.02813500,125879.91312466,0
