,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-08-01 09:00:59.999,1627822800000,18.13300000,18.13300000,18.08600000,18.12600000,1583.75000000,1627822859999,28672.27556300,146,677.10800000,12263.87005300,0
2021-08-01 09:01:59.999,1627822860000,18.12600000,18.17800000,18.12600000,18.17800000,1928.19600000,1627822919999,34993.25846900,57,1903.67100000,34547.83256900,0
2021-08-01 09:02:59.999,1627822920000,18.17300000,18.18800000,18.14700000,18.14700000,1624.05300000,1627822979999,29503.88270300,52,266.07900000,4837.55854400,0
2021-08-01 09:03:59.999,1627822980000,18.15700000,18.16500000,18.13700000,18.14700000,525.41200000,1627823039999,9538.23502400,29,165.68700000,3008.86146100,0
2021-08-01 09:04:59.999,1627823040000,18.13900000,18.15300000,18.13800000,18.15300000,388.51600000,1627823099999,7050.32791000,13,310.17600000,5629.32799000,0
2021-08-01 09:05:59.999,1627823100000,18.15000000,18.24400000,18.15000000,18.21300000,7645.20300000,1627823159999,139127.91310600,255,5468.35100000,99490.28740600,0
2021-08-01 09:06:59.999,1627823160000,18.20800000,18.20800000,18.19700000,18.20600000,495.79600000,1627823219999,9024.05701600,16,14.69400000,267.50621200,0
2021-08-01 09:07:59.999,1627823220000,18.20600000,18.20600000,18.17100000,18.18400000,1182.39600000,1627823279999,21497.91667600,44,85.19000000,1548.87808700,0
2021-08-01 09:08:59.999,1627823280000,18.17800000,18.17800000,18.15000000,18.16200000,645.29700000,1627823339999,11717.32171800,28,519.24200000,9426.88536000,0
2021-08-01 09:09:59.999,1627823340000,18.15000000,18.17600000,18.14900000,18.16600000,585.68400000,1627823399999,10634.05749100,17,556.34400000,10100.87846300,0
2021-08-01 09:10:59.999,1627823400000,18.15800000,18.15800000,18.13200000,18.13200000,628.03200000,1627823459999,11397.54302200,44,382.56100000,6941.67971800,0
2021-08-01 09:11:59.999,1627823460000,18.13100000,18.13900000,18.11900000,18.11900000,847.83200000,1627823519999,15368.91215200,48,300.80400000,5453.59874000,0
2021-08-01 09:12:59.999,1627823520000,18.11900000,18.15600000,18.11200000,18.15600000,1690.35400000,1627823579999,30654.20803700,59,1156.52300000,20973.78780900,0
