,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-08-01 09:00:59.999,1627822800000,2591.97000000,2593.26000000,2588.82000000,2593.14000000,396.34735000,1627822859999,1026975.61391780,649,246.74501000,639425.01510200,0
2021-08-01 09:01:59.999,1627822860000,2592.83000000,2598.90000000,2592.44000000,2595.56000000,263.73161000,1627822919999,684723.91031890,365,218.92850000,568458.44706650,0
2021-08-01 09:02:59.999,1627822920000,2595.55000000,2596.22000000,2594.87000000,2595.31000000,46.75044000,1627822979999,121349.99128250,145,16.10466000,41798.75990190,0
2021-08-01 09:03:59.999,1627822980000,2595.30000000,2595.56000000,2594.13000000,2594.84000000,54.49207000,1627823039999,141396.66528880,225,22.99160000,59657.98223300,0
2021-08-01 09:04:59.999,1627823040000,2594.84000000,2594.94000000,2594.29000000,2594.58000000,24.31007000,1627823099999,63073.30926040,94,15.88879000,41223.90782110,0
2021-08-01 09:05:59.999,1627823100000,2594.57000000,2597.68000000,2594.57000000,2596.45000000,76.10216000,1627823159999,197602.47239400,253,38.25416000,99336.12761170,0
2021-08-01 09:06:59.999,1627823160000,2596.45000000,2597.43000000,2596.43000000,2597.29000000,46.07668000,1627823219999,119655.24607750,204,32.38468000,84098.52396690,0
2021-08-01 09:07:59.999,1627823220000,2597.29000000,2597.29000000,2595.06000000,2595.94000000,57.89645000,1627823279999,150310.26285270,265,22.84083000,59293.72126120,0
2021-08-01 09:08:59.999,1627823280000,2595.91000000,2595.94000000,2593.42000000,2594.16000000,86.09816000,1627823339999,223378.00742930,255,43.30956000,112363.91027790,0
2021-08-01 09:09:59.999,1627823340000,2594.00000000,2595.94000000,2593.99000000,2594.97000000,26.14350000,1627823399999,67845.22138620,149,12.35957000,32073.20065820,0
2021-08-01 09:10:59.999,1627823400000,2594.96000000,2594.97000000,2592.63000000,2592.63000000,52.12698000,1627823459999,135189.00764850,223,7.55273000,19585.31878110,0
2021-08-01 09:11:59.999,1627823460000,2592.69000000,2593.86000000,2591.16000000,2592.18000000,91.38961000,1627823519999,236917.39197390,323,32.32244000,83799.79066190,0
2021-08-01 09:12:59.999,1627823520000,2592.18000000,2594.42000000,2592.18000000,2594.39000000,51.81987000,1627823579999,134374.09065990,162,39.53114000,102500.95125530,0
2021-08-01 09:13:59.999,1627823580000,2594.39000000,2594.39000000,2591.00000000,2591.08000000,66.87949000,1627823639999,173361.25997770,212,31.43312000,81472.33076410,0
2021-08-01 09:14:59.999,1627823640000,2591.08000000,2591.24000000,2586.98000000,2588.02000000,125.94368000,1627823699999,326080.60173710,466,25.30134000,65494.05059370,0
2021-08-01 09:15:59.999,1627823700000,2587.94000000,2588.10000000,2585.23000000,2586.75000000,257.56807000,1627823759999,666142.12600440,744,94.89046000,245421.21226740,0
2021-08-01 09:16:59.999,1627823760000,2586.77000000,2590.86000000,2586.77000000,2589.11000000,180.53000000,1627823819999,467418.90612300,374,71.00831000,183841.78963060,0
2021-08-01 09:17:59.999,1627823820000,2589.25000000,2590.67000000,2588.58000000,2588.64000000,79.65117000,1627823879999,206255.56678420,273,30.09612000,77934.16858280,0
2021-08-01 09:18:59.999,1627823880000,2588.64000000,2589.60000000,2586.08000000,2586.13000000,98.83355000,1627823939999,255786.98126220,307,22.75178000,58872.88061190,0
2021-08-01 09:19:59.999,1627823940000,2586.13000000,2586.42000000,2584.67000000,2586.08000000,137.01691000,1627823999999,354270.43351130,385,58.20481000,150491.86372560,0
2021-08-01 09:20:59.999,1627824000000,2586.08000000,2586.08000000,2582.60000000,2582.61000000,89.41447000,1627824059999,231041.49031040,390,29.54348000,76339.16864140,0
2021-08-01 09:21:59.999,1627824060000,2582.76000000,2584.15000000,2580.92000000,2581.58000000,115.71083000,1627824119999,298791.45496910,413,38.40427000,99180.16968420,0
2021-08-01 09:22:59.999,1627824120000,2581.58000000,2583.54000000,2580.25000000,2580.83000000,93.54503000,1627824179999,241545.76005310,388,44.10343000,113876.50473430,0
2021-08-01 09:23:59.999,1627824180000,2580.82000000,2581.46000000,2578.76000000,2581.36000000,216.92625000,1627824239999,559665.07934550,588,75.25674000,194148.39870140,0
2021-08-01 09:24:59.999,1627824240000,2581.37000000,2585.61000000,2580.00000000,2580.39000000,175.93644000,1627824299999,454497.23891160,519,87.14616000,225106.93079560,0
2021-08-01 09:25:59.999,1627824300000,2580.43000000,2582.90000000,2579.80000000,2582.55000000,74.02989000,1627824359999,191098.95322130,308,42.31230000,109222.19412860,0
2021-08-01 09:26:59.999,1627824360000,2582.54000000,2586.13000000,2582.54000000,2584.51000000,109.96640000,1627824419999,284258.16850550,351,65.32184000,168838.89265260,0
2021-08-01 09:27:59.999,1627824420000,2584.52000000,2586.91000000,2581.02000000,2581.39000000,73.36647000,1627824479999,189611.14068150,270,24.67450000,63778.78482500,0
2021-08-01 09:28:59.999,1627824480000,2581.76000000,2582.98000000,2580.88000000,2582.59000000,70.10405000,1627824539999,180999.54478130,167,21.69265000,55996.87581570,0
2021-08-01 09:29:59.999,1627824540000,2582.58000000,2583.84000000,2580.71000000,2580.71000000,108.51659000,1627824599999,280219.81573950,313,43.97013000,113538.52847420,0
2021-08-01 09:30:59.999,1627824600000,2580.71000000,2586.83000000,2580.41000000,2583.68000000,329.09364000,1627824659999,850580.38531840,561,157.55073000,407085.61565640,0
2021-08-01 09:31:59.999,1627824660000,2583.42000000,2586.19000000,2583.42000000,2583.71000000,80.05533000,1627824719999,206909.03973420,238,42.87032000,110808.01239650,0
2021-08-01 09:32:59.999,1627824720000,2583.60000000,2585.92000000,2583.48000000,2585.29000000,72.50249000,1627824779999,187396.89294390,232,47.39760000,122506.63719600,0
2021-08-01 09:33:59.999,1627824780000,2585.30000000,2587.00000000,2585.17000000,2586.78000000,42.47489000,1627824839999,109852.26359920,148,26.95657000,69712.85789670,0
2021-08-01 09:34:59.999,1627824840000,2586.73000000,2587.38000000,2586.09000000,2586.56000000,45.63435000,1627824899999,118050.77379820,203,32.20016000,83299.43533170,0
2021-08-01 09:35:59.999,1627824900000,2586.56000000,2586.69000000,2584.53000000,2584.65000000,66.84563000,1627824959999,172829.52292820,203,38.46071000,99437.70482590,0
2021-08-01 09:36:59.999,1627824960000,2584.64000000,2584.64000000,2581.98000000,2583.76000000,412.49751000,1627825019999,1065504.67743650,364,130.33248000,336674.86683200,0
2021-08-01 09:37:59.999,1627825020000,2583.99000000,2585.26000000,2582.92000000,2585.04000000,31.80696000,1627825079999,82178.86049030,133,12.82298000,33132.08532070,0
2021-08-01 09:38:59.999,1627825080000,2585.03000000,2585.03000000,2583.57000000,2583.86000000,34.27379000,1627825139999,88571.81351580,137,24.18354000,62492.05659310,0
2021-08-01 09:39:59.999,1627825140000,2583.57000000,2583.57000000,2581.63000000,2583.25000000,92.46552000,1627825199999,238796.23700120,226,50.01964000,129192.77899880,0
2021-08-01 09:40:59.999,1627825200000,2583.25000000,2583.29000000,2581.81000000,2582.21000000,43.95995000,1627825259999,113532.86561900,138,29.08076000,75107.27708260,0
